departamento,contratos,monto_miles_millones
DISTRITO CAPITAL DE BOGOTÁ,44962,18929.54
ANTIOQUIA,27904,5396.23
BOGOTÁ D.C.,10345,4716.17
VALLE DEL CAUCA,17961,1380.78
CUNDINAMARCA,11378,1055.85
SANTANDER,9668,852.1
TOLIMA,9094,731.02
ATLÁNTICO,3541,578.25
HUILA,5528,553.26
CALDAS,6517,502.44
NORTE DE SANTANDER,4542,474.19
CASANARE,2810,456.09
META,4776,433.07
BOLÍVAR,3528,407.82
CAUCA,3647,391.57
BOYACÁ,9457,383.93
NO DEFINIDO,2024,354.43
NARIÑO,6799,326.57
RISARALDA,5525,286.27
CESAR,3184,266.52
MAGDALENA,2904,238.87
CÓRDOBA,2233,211.28
LA GUAJIRA,1310,205.2
PUTUMAYO,1954,167.01
QUINDÍO,3486,151.25
ARAUCA,988,146.37
SUCRE,2589,132.23
CAQUETÁ,1196,122.93
CHOCÓ,733,90.76
"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",692,52.66
VAUPÉS,261,49.59
VICHADA,411,43.47
AMAZONAS,420,32.66
GUAVIARE,562,27.5
GUAINÍA,194,23.06
