proveedor,contratos,monto_miles_millones
ORACLE COLOMBIA LTDA,1,6.1
CONSORIO CONSERVACION USAQUEN,1,6.03
hlessing industries s.a.s,1,5.87
COMSISTELCO,1,4.79
ALIANZA PUBLICA PARA EL DESARROLLO INTEGRAL  ALDESARROLLO - PROVEEDOR,1,4.54
SERVICIOS INFORMATICOS S.A.S.,1,4.31
UNION TEMPORAL ACUEDUCTO GC CUCUTA,1,2.85
EMPRESA DE DESARROLLO URBANO Y RURAL DEL MUNICIPIO DE BELLO,1,2.54
IOCOM S.A.S.,1,2.47
RESGUARDO INDIGENA MISAK PISCITAU,1,2.24
PROENSALUD,1,1.78
Thomas Greg & Sons de Colombia S.A.,1,1.58
ALLBREAKER S.A.S,1,1.17
CONSEJO DE GOBIERNO PROPIO DE LA ORGANIZACION REGIONAL INDIGENA VALLE DEL CAUCA,1,1.16
CORPORACION VIVOCUENCA,1,1.04
