columna,tipo,cantidad_registros,nulos,porcentaje_nulos,valores_unicos,min,max
nombre_entidad,VARCHAR,500,0,0.0,334,,
nit_entidad,VARCHAR,500,0,0.0,273,,
departamento,VARCHAR,500,0,0.0,30,,
ciudad,VARCHAR,500,0,0.0,112,,
localizaci_n,VARCHAR,500,0,0.0,145,,
orden,VARCHAR,500,0,0.0,3,,
sector,VARCHAR,500,0,0.0,23,,
rama,VARCHAR,500,0,0.0,4,,
entidad_centralizada,VARCHAR,500,0,0.0,2,,
proceso_de_compra,VARCHAR,500,0,0.0,500,,
id_contrato,VARCHAR,500,0,0.0,500,,
referencia_del_contrato,VARCHAR,500,0,0.0,500,,
estado_contrato,VARCHAR,500,0,0.0,7,,
codigo_de_categoria_principal,VARCHAR,500,0,0.0,153,,
descripcion_del_proceso,VARCHAR,500,0,0.0,499,,
tipo_de_contrato,VARCHAR,500,0,0.0,10,,
modalidad_de_contratacion,VARCHAR,500,0,0.0,8,,
justificacion_modalidad_de,VARCHAR,500,0,0.0,19,,
fecha_de_firma,TIMESTAMP,500,0,0.0,402,2017-08-04 00:00:00,2025-12-30 00:00:00
fecha_de_inicio_del_contrato,TIMESTAMP,500,7,1.4,406,2017-08-01 00:00:00,2026-01-03 00:00:00
fecha_de_fin_del_contrato,TIMESTAMP,500,0,0.0,281,2017-12-15 00:00:00,2028-12-31 00:00:00
condiciones_de_entrega,VARCHAR,500,0,0.0,10,,
tipodocproveedor,VARCHAR,500,0,0.0,4,,
documento_proveedor,VARCHAR,500,0,0.0,499,,
proveedor_adjudicado,VARCHAR,500,0,0.0,499,,
es_grupo,VARCHAR,500,0,0.0,2,,
es_pyme,VARCHAR,500,0,0.0,2,,
habilita_pago_adelantado,VARCHAR,500,0,0.0,3,,
liquidaci_n,VARCHAR,500,0,0.0,2,,
obligaci_n_ambiental,VARCHAR,500,0,0.0,2,,
obligaciones_postconsumo,VARCHAR,500,0,0.0,1,,
reversion,VARCHAR,500,0,0.0,1,,
origen_de_los_recursos,VARCHAR,500,0,0.0,2,,
destino_gasto,VARCHAR,500,0,0.0,2,,
valor_del_contrato,DOUBLE,500,0,0.0,427,-0.0,4770439000.0
valor_de_pago_adelantado,DOUBLE,500,0,0.0,2,-0.0,1485845900.0
valor_facturado,DOUBLE,500,0,0.0,275,-0.0,4770439000.0
valor_pendiente_de_pago,DOUBLE,500,0,0.0,286,-148852.0,2797495667.0
valor_pagado,DOUBLE,500,0,0.0,251,-0.0,4770439000.0
valor_amortizado,DOUBLE,500,0,0.0,2,-0.0,1114384425.0
valor_pendiente_de,DOUBLE,500,0,0.0,2,-0.0,371461475.0
valor_pendiente_de_ejecucion,DOUBLE,500,0,0.0,286,-148852.0,2797495667.0
saldo_cdp,DOUBLE,500,0,0.0,317,-0.0,117151785150.0
saldo_vigencia,DOUBLE,500,0,0.0,6,-0.0,108733942000.0
espostconflicto,VARCHAR,500,0,0.0,2,,
dias_adicionados,DOUBLE,500,0,0.0,48,-0.0,919.0
puntos_del_acuerdo,VARCHAR,500,0,0.0,3,,
pilares_del_acuerdo,VARCHAR,500,0,0.0,3,,
urlproceso,VARCHAR,500,0,0.0,499,,
nacionalidad_representante_legal,VARCHAR,500,0,0.0,3,,
tipo_de_identificaci_n_representante_legal,VARCHAR,500,0,0.0,4,,
g_nero_representante_legal,VARCHAR,500,0,0.0,3,,
presupuesto_general_de_la_nacion_pgn,DOUBLE,500,0,0.0,105,-0.0,4770439000.0
sistema_general_de_participaciones,DOUBLE,500,0,0.0,29,-0.0,59448008.0
sistema_general_de_regal_as,DOUBLE,500,0,0.0,3,-0.0,774822465.0
recursos_propios_alcald_as_gobernaciones_y_resguardos_ind_genas_,DOUBLE,500,0,0.0,200,-0.0,1544278233.0
recursos_de_credito,DOUBLE,500,0,0.0,1,-0.0,0.0
recursos_propios,DOUBLE,500,0,0.0,99,-0.0,2971691800.0
ultima_actualizacion,VARCHAR,500,183,36.6,284,,
codigo_entidad,VARCHAR,500,0,0.0,334,,
codigo_proveedor,VARCHAR,500,0,0.0,499,,
fecha_inicio_liquidacion,VARCHAR,500,432,86.4,66,,
fecha_fin_liquidacion,VARCHAR,500,432,86.4,66,,
objeto_del_contrato,VARCHAR,500,0,0.0,499,,
duraci_n_del_contrato,VARCHAR,500,0,0.0,180,,
el_contrato_puede_ser_prorrogado,VARCHAR,500,0,0.0,2,,
fecha_de_notificaci_n_de_prorrogaci_n,VARCHAR,500,449,89.8,50,,
tipo_de_documento_ordenador_del_gasto,VARCHAR,500,0,0.0,4,,
tipo_de_documento_supervisor,VARCHAR,500,0,0.0,2,,
tipo_de_documento_ordenador_de_pago,VARCHAR,500,0,0.0,3,,
documentos_tipo,VARCHAR,500,0,0.0,2,,
descripcion_documentos_tipo,VARCHAR,500,0,0.0,4,,
direcci_n_de_ejecuci_n_del_contrato,VARCHAR,500,0,0.0,379,,
:id,VARCHAR,500,0,0.0,500,,
:version,VARCHAR,500,0,0.0,500,,
:created_at,TIMESTAMP WITH TIME ZONE,500,0,0.0,1,,
:updated_at,TIMESTAMP WITH TIME ZONE,500,0,0.0,1,,
