sector,num_proveedores,indice_herfindahl_hhi
interior,1,10000.0
Relaciones Exteriores,1,10000.0
Minas y Energía,1,10000.0
Presidencia de la República,3,8911.29
Industria,4,8136.5
"Vivienda, Ciudad y Territorio",10,7521.25
defensa,18,6836.1
Trabajo,29,5150.39
Hacienda y Crédito Público,5,4435.62
Cultura,17,3715.61
Ley de Justicia,9,3012.08
Planeación,4,2889.69
Tecnologías de la Información y las Comunicaciones,6,2464.28
Servicio Público,138,1840.64
Salud y Protección Social,66,1679.39
deportes,18,1408.5
Información Estadística,13,1317.54
Transporte,15,1308.0
Educación Nacional,14,1274.39
No aplica/No pertenece,79,1163.86
