departamento,cantidad_contratos,valor_total,valor_promedio
Distrito Capital de Bogotá,178,20929387653.09,117580829.51
Valle del Cauca,46,1996336615.48,43398622.08
Antioquia,41,4283379787.0,104472677.73
Tolima,22,485344911.67,22061132.35
Cundinamarca,22,632906986.5,28768499.39
Santander,20,442379755.99,22118987.8
Atlántico,17,379460525.33,22321207.37
Bolívar,14,341487200.0,24391942.86
Norte de Santander,12,368479218.83,30706601.57
Boyacá,12,256667197.66,21388933.14
Quindío,12,162963390.0,13580282.5
Caldas,12,1386176864.0,115514738.67
Magdalena,10,141103079.0,14110307.9
Cauca,9,127626306.0,14180700.67
Huila,9,181010544.0,20112282.67
Meta,8,164058349.33,20507293.67
Nariño,8,69086270.0,8635783.75
Risaralda,6,145499763.0,24249960.5
Cesar,5,110178077.0,22035615.4
"San Andrés, Providencia y Santa Catalina",5,174662135.0,34932427.0
Casanare,5,49983077.0,9996615.4
No Definido,5,312054600.0,62410920.0
Putumayo,4,64142652.33,16035663.08
Córdoba,4,62237906.04,15559476.51
Sucre,4,1116620727.0,279155181.75
Vichada,2,28500000.0,14250000.0
Caquetá,2,66280000.0,33140000.0
Amazonas,2,37883333.0,18941666.5
La Guajira,2,2995545436.0,1497772718.0
Arauca,2,27666666.67,13833333.34
