nit_entidad,nombre_entidad,orden,cantidad_contratos,valor_total_contratado
830027904,DIRECCION GENERAL MARITIMA - SUBDIRECCION ADMINISTRATIVA Y FINANCIERA - SUBAFIN,Nacional,1,4770439000.0
892170008,ALCALDIA MUNICIPAL DE FONSECA,Territorial,1,2971691800.0
890984221,MUNICIPIO DE EL BAGRE,Territorial,3,2833312507.0
899999034,SENA DIRECCIÓN GENERAL Dirección de Promoción y Relaciones Corporativas,Nacional,1,2305504837.0
899999284,FONDO NACIONAL DEL AHORRO S.A.,Nacional,1,2000000000.0
899999061,"SECRETARÍA DISTRITAL DE CULTURA, RECREACIÓN Y DEPORTE",Territorial,1,1544278233.0
830034348,"Ministerio de las Culturas, las Artes y los Saberes",Nacional,3,1510296227.0
899999239,ICBF REGIONAL SUCRE,Nacional,1,1077059848.0
899999239,ICBF REGIONAL CUNDINAMARCA,Nacional,1,1024888966.0
890801052,GOBERNACION DE CALDAS,Territorial,2,1004322465.0
900477169,AGENCIA PARA LA REINCORPORACIÓN Y LA NORMALIZACIÓN,Nacional,2,974018814.05
890399011,SANTIAGO DE CALI DISTRITO ESPECIAL- SECRETARIA DE TURISMO,Territorial,1,678612992.0
890399011,SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE GOBIERNO,Territorial,1,494877280.0
800131070,Central administrativa regional Usaquen,Nacional,1,401588218.61
800186061,DEFENSORÍA DEL PUEBLO,Nacional,4,335830667.0
890980917,ALCALDIA DE EL PEÑOL,Territorial,1,285717283.0
890801099,HOSPITAL DEPARTAMENTAL UNIVERSITARIO SANTA SOFIA DE CALDAS,Territorial,3,278800000.0
900148210,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE CARACOLI,Territorial,1,268336842.0
8999990619,(Secretaría Distrital de Integración Social),Territorial,9,233967450.0
900958564,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.**,Territorial,4,233132613.0
900948953,AGENCIA NACIONAL DE TIERRAS - ANT,Nacional,5,209698395.0
900373913,UNIDAD DE GESTION PENSIONAL Y PARAFISCALES - UGPP,Nacional,1,201253883.0
900463725,MINVIVIENDA,Nacional,2,189554600.0
860037234,LOTERIA DE CUNDINAMARCA,Territorial,1,185884480.0
900971006,SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E. (OFICIAL),Territorial,6,185640976.0
892400038,GOBERNACIÓN DEL DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,Territorial,5,174662135.0
899999061,UNIDAD ADMINISTRATIVA ESPECIAL CUERPO OFICIAL DE BOMBEROS DE BOGOTA,Territorial,2,159120850.0
899999318,ALCALDIA MUNICIPIO DE ZIPAQUIRA,Territorial,2,157222709.5
899999001,MINISTERIO DE EDUCACION NACIONAL (MEN),Nacional,2,152054241.0
900498879,UNIDAD ADMINISTRATIVA ESPECIAL DE GESTION DE RESTITUCION DE TIERRAS DESPOJADAS**,Nacional,4,143809876.0
900002583,INRAVISIÓN - SISTEMA DE MEDIOS PÚBLICOS DEL ESTADO COLOMBIANO S.A.S,Nacional,4,143030373.0
899999067,CGR-NIVEL CENTRAL,Nacional,1,140001000.0
890399029,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Territorial,1,140000000.0
899999059,AEROCIVIL,Nacional,2,138847260.0
900039533,PROSPERIDAD SOCIAL,Nacional,2,137119503.0
8300396705,DIRECCIÓN GENERAL DE SANIDAD MILITAR+,Nacional,1,135000000.0
830507387,METROLINEA S.A,Territorial,1,131589110.0
899999061,DEPARTAMENTO ADMINISTRATIVO DE LA DEFENSORIA DEL ESPACIO PUBLICO,Territorial,2,130800000.0
899999705,ALCALDÍA MUNICIPAL COTA,Territorial,3,124400000.0
900959048,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Territorial,6,122899392.0
890201235,DEPARTAMENTO DE SANTANDER,Territorial,3,121933333.0
891800498,GOBERNACIÓN DE BOYACÁ,Territorial,4,121473280.66
800103927,Gobernación Norte de Santander*,Territorial,3,120000000.0
860044113,FUNDACION GILBERTO ALZATE AVENDAÑO,Territorial,1,115073600.0
800178618,INFORDES,Territorial,1,115000000.0
830002593,COMISIÓN DE REGULACIÓN DE COMUNICACIONES,Nacional,1,114767760.0
890102018,DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA,Territorial,2,114150000.0
800141645,ARMADA NACIONAL - BASE NAVAL No.1 ARC BOLÍVAR,Nacional,1,113500000.0
8001875909,FISCALÍA GENERAL DE LA NACIÓN REGIONAL CENTROSUR,Nacional,1,110000000.0
899999004,IGAC Sede Central *,Nacional,4,108293859.0
