mes_firma,cantidad_contratos,valor_total
2017-08,1,25000000.0
2017-10,1,4760000.0
2017-11,1,49500000.0
2017-12,1,20000000.0
2018-01,1,13313872.0
2018-04,1,0.0
2018-08,1,8440650.0
2019-01,4,149713867.0
2019-02,6,184991964.0
2019-11,1,2700000.0
2020-01,5,203423754.0
2020-02,4,160582219.0
2020-03,3,120552013.0
2020-04,1,113500000.0
2020-05,6,187162502.8
2020-06,3,442133608.61
2020-07,3,54015568.0
2020-08,4,54779534.32
2020-09,3,25300000.0
2020-10,4,53721681.0
2020-11,1,13240333.0
2020-12,2,26993944.0
2021-01,6,179382663.0
2021-02,8,261644965.0
2021-03,4,71150339.0
2021-04,3,188151037.0
2021-05,7,1094360165.0
2021-06,3,92996904.0
2021-07,6,239856023.0
2021-08,3,59000000.0
2021-09,7,70666999.0
2021-10,6,89588074.0
2021-11,4,176715209.0
2021-12,2,48694850.0
2022-01,34,865648026.0
2022-02,3,32208840.0
2022-03,1,90000000.0
2022-07,5,2851976334.0
2022-08,10,776341847.0
2022-09,4,98111742.0
2022-10,4,27131944.0
2022-11,6,152821946.0
2022-12,3,579293953.0
2023-01,18,622770131.0
2023-02,13,338648923.0
2023-03,11,388404591.48
2023-04,4,238293216.0
2023-05,3,36994416.53
2023-06,18,2496181600.5
2023-07,6,118410708.0
2023-08,2,21832000.0
2023-09,3,26650000.0
2023-10,6,48800355.0
2023-11,2,96106000.0
2023-12,2,75000161.0
2024-01,15,852327266.0
2024-02,10,1327154845.0
2024-03,4,129729555.0
2024-04,7,250311686.43
2024-05,8,817588186.0
2024-06,4,150163154.0
2024-07,5,3089665380.2
2024-08,11,322076632.0
2024-09,9,1051165581.05
2024-10,14,2419538593.33
2024-11,9,104547996.0
2024-12,2,93957783.33
2025-01,12,671685293.0
2025-02,23,800636525.0
2025-03,15,1438076528.0
2025-04,10,423261480.0
2025-05,12,370580720.0
2025-06,4,153983710.0
2025-07,13,1819218510.5
2025-08,6,1453299500.0
2025-09,10,152509254.04
2025-10,7,79409542.46
2025-11,10,4882633510.67
2025-12,6,217928321.67
