sector,cantidad_contratos,valor_total,valor_promedio
Servicio Público,138,9604737243.48,69599545.24
defensa,18,5796010113.02,322000561.83
No aplica/No pertenece,79,4550890112.0,57606203.95
Cultura,17,3431052028.0,201826589.88
Trabajo,29,3223924032.0,111169794.21
Salud y Protección Social,66,2779721963.0,42116999.44
"Vivienda, Ciudad y Territorio",10,2313606920.0,231360692.0
Presidencia de la República,3,987259147.05,329086382.35
Industria,4,754780312.0,188695078.0
Inclusión Social y Reconciliación,18,662762919.0,36820162.17
Transporte,15,499271446.0,33284763.07
Educación Nacional,14,475262177.33,33947298.38
agricultura,12,400119483.0,33343290.25
Ambiente y Desarrollo Sostenible,19,382474356.0,20130229.26
deportes,18,363521045.0,20195613.61
Ley de Justicia,9,354339155.04,39371017.23
Tecnologías de la Información y las Comunicaciones,6,281153133.0,46858855.5
Información Estadística,13,232230833.0,17863910.23
Hacienda y Crédito Público,5,183487922.0,36697584.4
interior,1,104470000.0,104470000.0
Planeación,4,99484348.0,24871087.0
Minas y Energía,1,33550339.0,33550339.0
Relaciones Exteriores,1,25000000.0,25000000.0
